id,menu_access/id,menu_access/name
,iac_vendor_evaluation.menu_vendor_scm_controller_pc,µ˚©wPart Class
,iac_vendor_evaluation.menu_vendor_qm_leader_pc,Æ÷≠„Part ClassΩ’æ„
,iac_vendor_evaluation.menu_vendor_scm_controller_sc,ΩTª{D Class SC
,iac_vendor_evaluation.menu_vendor_qm_leader_sc,Æ÷≠„D Class SC
,iac_vendor_evaluation.menu_vendor_manual_production,§‚∞ ≤£•Õµ˚Æ÷¶W≥Ê
,iac_vendor_evaluation.menu_vendor_dclass_return,•”Ω–D Class™¶^
,iac_vendor_evaluation.menu_vendor_dclass_return_approve,Æ÷≠„D Class™¶^
,iac_vendor_evaluation.menu_vendor_sc_class,µ˚Æ÷æ˙•v∞Oø˝¨d∏ﬂ
,iac_vendor_evaluation.menu_vendor_dclass_processing_operation,D Class≥B≤zß@∑~
,iac_vendor_evaluation.menu_vendor_audit_scm_controller_dclass,SCM ControllerºfÆ÷D Class≥B≤z§Ë¶°
,iac_vendor_evaluation.menu_vendor_audit_scm_leader_dclass,SCM LeaderºfÆ÷D Class≥B≤z§Ë¶°
,iac_vendor_evaluation.menu_vendor_audit_qm_controller_dclass,QM ControllerºfÆ÷D Class≥B≤z§Ë¶°
,iac_vendor_evaluation.menu_vendor_audit_qm_leader_dclass,QM LeaderºfÆ÷D Class≥B≤z§Ë¶°
,iac_vendor_evaluation.menu_vendor_plm,øÈ§JPLM•”Ω–≥Ê∏π
,,
,,
oscg_vendor.IAC_buyer_groups,oscg_control_table.main_table_menu,Control Table
,oscg_control_table.country_menu,Country of Origin
,oscg_control_table.query_update_menu,Query/Update
,oscg_control_table.batch_upload_menu,Batch Upload
,,
oscg_vendor.IAC_vendor_groups,oscg_control_table.main_table_menu,Control Table
,oscg_control_table.country_menu,Country of Origin
,oscg_control_table.query_update_menu,Query/Update
,oscg_control_table.batch_upload_menu,Batch Upload
,,
oscg_vendor.IAC_buyer_manager_groups,oscg_rfq.menu_asn_root,Control Table
,oscg_control_table.country_menu,Country of Origin
,oscg_control_table.query_update_menu,Query/Update
,oscg_control_table.batch_upload_menu,Batch Upload
,,
oscg_vendor.group_report_vendor,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_wizard_vendor_vs_buyer_email,Vendor vs Buyer Email
,iac_report.menu_wizard_vendor_change_history,Vendor Change History
,iac_report.menu_global_vendor_report,Global Vendor Report
,iac_report.menu_global_vendor_qm_report,Global Vendor Report-QM
,iac_report.menu_vendor_report,Vendor Report
,iac_report.menu_payment_term_change_report,Payment/Inco Term changes log
,,
,,
,,
oscg_vendor.IAC_qs_groups,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
,iac_vendor_evaluation.menu_vendor_set_risk_level,µ˚Æ÷??µ•?
,,
,,
,,
,,
,,
oscg_vendor.IAC_setsupplier_groups,iac_report.main_report_menu,Report
,iac_report.Other_menu,Other
,iac_report.menu_email_alert_report,Email Alert Report
,,
oscg_vendor.group_set_bulletin,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_bulletin_information_report,Bulletin Information Report
,,
oscg_vendor.IAC_setsupplier_groups,iac_report.menu_wizard_iac_sop_attachment,Doc SOP
,iac_report.menu_sop_vendor,SOP - Vendor
,iac_report.menu_vendor_sop_doc,SOP Vendor
,,
oscg_vendor.IAC_vendor_groups,iac_report.menu_sop_vendor,SOP - Vendor
,iac_report.menu_vendor_sop_doc,SOP Vendor
,,
oscg_vendor.group_report_GR,iac_report.menu_sop_po,SOP - PO
,iac_report.menu_po_sop_doc,SOP PO
,iac_report.menu_sop_vendor_evaluation,SOP - Vendor Evaluation
,iac_report.menu_vendor_evaluation_sop_doc,SOP Vendor Evaluation
,iac_report.menu_sop_fcst,SOP - FCST
,iac_report.menu_fcst_sop_doc,SOP FCST
,iac_report.menu_sop_asn,SOP - ASN
,iac_report.menu_asn_sop_doc,SOP ASN
,iac_report.menu_sop_rfq,SOP - RFQ
,iac_report.menu_rfq_sop_doc,SOP RFQ
,iac_report.menu_sop_workspace,SOP - Workspace
,iac_report.menu_workspace_sop_doc,SOP Workspace
,,
oscg_vendor.group_report_RFQ,iac_report.menu_sop_po,SOP - PO
,iac_report.menu_po_sop_doc,SOP PO
,iac_report.menu_sop_vendor_evaluation,SOP - Vendor Evaluation
,iac_report.menu_vendor_evaluation_sop_doc,SOP Vendor Evaluation
,iac_report.menu_sop_fcst,SOP - FCST
,iac_report.menu_fcst_sop_doc,SOP FCST
,iac_report.menu_sop_asn,SOP - ASN
,iac_report.menu_asn_sop_doc,SOP ASN
,iac_report.menu_sop_rfq,SOP - RFQ
,iac_report.menu_rfq_sop_doc,SOP RFQ
,iac_report.menu_sop_workspace,SOP - Workspace
,iac_report.menu_workspace_sop_doc,SOP Workspace
,,
oscg_vendor.group_report_PO,iac_report.menu_sop_po,SOP - PO
,iac_report.menu_po_sop_doc,SOP PO
,iac_report.menu_sop_vendor_evaluation,SOP - Vendor Evaluation
,iac_report.menu_vendor_evaluation_sop_doc,SOP Vendor Evaluation
,iac_report.menu_sop_fcst,SOP - FCST
,iac_report.menu_fcst_sop_doc,SOP FCST
,iac_report.menu_sop_asn,SOP - ASN
,iac_report.menu_asn_sop_doc,SOP ASN
,iac_report.menu_sop_rfq,SOP - RFQ
,iac_report.menu_rfq_sop_doc,SOP RFQ
,iac_report.menu_sop_workspace,SOP - Workspace
,iac_report.menu_workspace_sop_doc,SOP Workspace
,,
oscg_vendor.group_report_vendor,iac_report.menu_sop_po,SOP - PO
,iac_report.menu_po_sop_doc,SOP PO
,iac_report.menu_sop_vendor_evaluation,SOP - Vendor Evaluation
,iac_report.menu_vendor_evaluation_sop_doc,SOP Vendor Evaluation
,iac_report.menu_sop_fcst,SOP - FCST
,iac_report.menu_fcst_sop_doc,SOP FCST
,iac_report.menu_sop_asn,SOP - ASN
,iac_report.menu_asn_sop_doc,SOP ASN
,iac_report.menu_sop_rfq,SOP - RFQ
,iac_report.menu_rfq_sop_doc,SOP RFQ
,iac_report.menu_sop_workspace,SOP - Workspace
,iac_report.menu_workspace_sop_doc,SOP Workspace
,,
oscg_vendor.group_report_others,iac_report.menu_sop_po,SOP - PO
,iac_report.menu_po_sop_doc,SOP PO
,iac_report.menu_sop_vendor_evaluation,SOP - Vendor Evaluation
,iac_report.menu_vendor_evaluation_sop_doc,SOP Vendor Evaluation
,iac_report.menu_sop_fcst,SOP - FCST
,iac_report.menu_fcst_sop_doc,SOP FCST
,iac_report.menu_sop_asn,SOP - ASN
,iac_report.menu_asn_sop_doc,SOP ASN
,iac_report.menu_sop_rfq,SOP - RFQ
,iac_report.menu_rfq_sop_doc,SOP RFQ
,iac_report.menu_sop_workspace,SOP - Workspace
,iac_report.menu_workspace_sop_doc,SOP Workspace
,,
oscg_vendor.group_report_others,iac_report.menu_sop_po,SOP - PO
,iac_report.menu_po_sop_doc,SOP PO
,iac_report.menu_sop_vendor_evaluation,SOP - Vendor Evaluation
,iac_report.menu_vendor_evaluation_sop_doc,SOP Vendor Evaluation
,iac_report.menu_sop_fcst,SOP - FCST
,iac_report.menu_fcst_sop_doc,SOP FCST
,iac_report.menu_sop_asn,SOP - ASN
,iac_report.menu_asn_sop_doc,SOP ASN
,iac_report.menu_sop_rfq,SOP - RFQ
,iac_report.menu_rfq_sop_doc,SOP RFQ
,iac_report.menu_sop_workspace,SOP - Workspace
,iac_report.menu_workspace_sop_doc,SOP Workspace
,,
oscg_vendor.IAC_buyer_groups,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_change_term,Change Term
,oscg_rfq.menu_iac_rfq_mm_download,Batch: MM Download
,oscg_rfq.menu_iac_rfq_mm_upload,Batch: MM Upload
,oscg_rfq.menu_iac_rfq_mm_uploaded_history,Release List
,oscg_rfq.menu_iac_rfq_rfq,MM Release
,oscg_rfq.menu_iac_rfq_mass_line_buyer,Idle: MM Maintain
,,
oscg_vendor.IAC_AS_groups,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_view,Quote
,oscg_rfq.menu_iac_rfq_quote_as,AS Review
,oscg_rfq.menu_rfq,RFQ
,oscg_rfq.menu_rfq_rfq,RFQ
,oscg_rfq.menu_iac_rfq_as_upload,Batch: AS Upload
,,
,,
oscg_vendor.IAC_vendor_groups,iac_report.main_report_menu,Report
,iac_report.PO_menu,PO
,iac_report.menu_wizard_po_report,PO Report
,,
oscg_vendor.IAC_buyer_groups,iac_report.main_report_menu,Report
,iac_report.PO_menu,PO
,iac_report.menu_wizard_po_report,PO Report
,,
,,
oscg_vendor.IAC_buyer_groups,iac_report.main_report_menu,Report
,iac_report.PO_menu,PO
,iac_report.menu_wizard_po_without_vendor_confirm,New PO without Vendor Confirm
,,
oscg_vendor.group_report_vendor,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_wizard_vendor_vs_buyer_email,Vendor vs Buyer Email
,iac_report.menu_wizard_vendor_change_history,Vendor Change History
,iac_report.menu_global_vendor_report,Global Vendor Report
,iac_report.menu_global_vendor_qm_report,Global Vendor Report-QM
,iac_report.menu_vendor_report,Vendor Report
,iac_report.menu_payment_term_change_report,Payment/Inco Term changes log
,,
,,
oscg_vendor.IAC_setsupplier_groups,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_supplier_attachment_list,Supplier Attachment List
,,
oscg_vendor.IAC_buyer_groups,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_supplier_attachment_list,Supplier Attachment List
,,
oscg_vendor.group_scm_leader,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_detail,Vendor Evaluation Detail
,,
oscg_vendor.group_scm_controller,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_detail,Vendor Evaluation Detail
,,
oscg_vendor.group_qm_leader,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_detail,Vendor Evaluation Detail
,,
oscg_vendor.group_qm_controller,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_detail,Vendor Evaluation Detail
,,
oscg_vendor.IAC_super_buyer_groups,oscg_po.menu_po,Purchase Order
,oscg_po.menu_po_view,Purchase Order
,oscg_po.menu_po_buyer_code_change,PO Buyer Code Change
,,
oscg_vendor.IAC_setsupplier_groups,iac_report.main_report_menu,Report
,iac_report.RFQ_menu,RFQ
,iac_report.menu_price_difference,«∞“ªÃÏΩ®RFQÉr∏Ò≤ÓÆê±Ì
oscg_vendor.group_bow_of_price,iac_report.main_report_menu,Report
,iac_report.RFQ_menu,RFQ
,iac_report.menu_price_difference,«∞“ªÃÏΩ®RFQÉr∏Ò≤ÓÆê±Ì
,,
oscg_vendor.IAC_super_buyer_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_change,Vendor Change
,oscg_vendor.menu_vendor_change_buyer_email,Buyer Email
,,
oscg_vendor.group_scm_leader,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_summary,Vendor Evaluation Summary
,,
oscg_vendor.group_scm_controller,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_summary,Vendor Evaluation Summary
,,
oscg_vendor.group_qm_leader,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_summary,Vendor Evaluation Summary
,,
oscg_vendor.group_qm_controller,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_evaluation_summary,Vendor Evaluation Summary
,,
oscg_vendor.IAC_setsupplier_groups,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_vendor_without_gv_code,Vendor Without Gv_code Report
,,
oscg_vendor.IAC_buyer_groups,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_global_vendor_report,Global Vendor Report
oscg_vendor.group_report_vendor_global,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_global_vendor_report,Global Vendor Report
,,
oscg_vendor.IAC_super_buyer_groups,iac_report.main_report_menu,Report
,iac_report.PO_menu,Po
,iac_report.menu_po_buyer_code_change_log,Po Buyer_code Change Log
,,
oscg_vendor.IAC_AS_groups,iac_report.main_report_menu,Report
,iac_report.RFQ_menu,RFQ
,iac_report.menu_wizard_rfq_import_as_report,Upload List: AS
,,
oscg_vendor.IAC_buyer_groups,iac_report.main_report_menu,Report
,iac_report.RFQ_menu,RFQ
,iac_report.menu_wizard_rfq_import_mm_report,Upload List: MM
,,
oscg_vendor.IAC_qs_groups,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_supplier_attachment_list,Supplier Attachment List
oscg_vendor.group_qm_controller,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_supplier_attachment_list,Supplier Attachment List
oscg_vendor.group_qm_user,iac_report.main_report_menu,Report
,iac_report.Vendor_menu,Vendor
,iac_report.menu_supplier_attachment_list,Supplier Attachment List
