id,menu_access/id,menu_access/name
,oscg_vendor.menu_agent_history_log,Agent History
oscg_vendor.IAC_buyer_groups,oscg_vendor.menu_vendor_change,Vendor Change
,oscg_vendor.menu_vendor_change_block,Block/Unblock
,oscg_vendor.menu_vendor_change_bank,Bank Info.
,oscg_vendor.menu_vendor_change_pmt,PMT/Inco Term
,oscg_vendor.menu_vendor_change_specific,Specific Data
,,
,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_other,Other Vendor
,oscg_vendor.menu_vendor_other_bvi,BVI Vendor
,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_other,Other Vendor
,oscg_vendor.menu_vendor_other_spot,Spot Vendor
,,
,,
oscg_vendor.IAC_vendor_groups,oscg_vendor.menu_vendor_change,Vendor Change
,oscg_vendor.menu_vendor_change_bank,Bank Info.
oscg_vendor.IAC_spot_vendor_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_other,Other Vendor
,oscg_vendor.menu_vendor_other_spot,Spot Vendor
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
oscg_vendor.IAC_mold_vendor_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_other,Other Vendor
,oscg_vendor.menu_vendor_other_mold,Mold Vendor
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
oscg_vendor.IAC_bvi_vendor_groups,oscg_vendor.menu_vendor,Vendor
,oscg_vendor.menu_vendor_other,Other Vendor
,oscg_vendor.menu_vendor_other_bvi,BVI Vendor
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
oscg_vendor.group_scm_leader,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
oscg_vendor.group_scm_controller,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_base_data,∞Ú¬¶∏ÍÆ∆
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
,iac_vendor_evaluation.menu_vendor_grading_project,µ˚§¿∂µ•ÿ∫˚≈@
,iac_vendor_evaluation.menu_vendor_designated_personnel,´¸©wµ˚Æ÷§H≠˚
,iac_vendor_evaluation.menu_vendor_scm_controller_pc,µ˚©wClass
,iac_vendor_evaluation.menu_vendor_scm_controller_sc,ΩTª{D Class SC
,iac_vendor_evaluation.menu_vendor_sc_class,µ˚Æ÷æ˙•v∞Oø˝¨d∏ﬂ
,iac_vendor_evaluation.menu_vendor_dclass_return,•”Ω–D Class™¶^
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
oscg_vendor.group_scm_user,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
,iac_vendor_evaluation.menu_vendor_judges_score,µ˚Æ÷§H≠˚•¥§¿
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
,,
oscg_vendor.group_qm_leader,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_base_data,∞Ú¬¶∏ÍÆ∆
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
,iac_vendor_evaluation.menu_vendor_qm_leader_pc,Æ÷≠„Part ClassΩ’æ„
,iac_vendor_evaluation.menu_vendor_material_type,ß˜Æ∆√˛ßO≥]©w
,iac_vendor_evaluation.menu_vendor_grading_project,µ˚§¿∂µ•ÿ∫˚≈@
,iac_vendor_evaluation.menu_vendor_maintenance,µ˚§¿∞œ∂°∏ÍÆ∆∫˚≈@
,iac_vendor_evaluation.menu_vendor_failure_cost,•¢±—¶®•ª∞œ∂°∏ÍÆ∆∫˚≈@
,iac_vendor_evaluation.menu_vendor_qm_leader_sc,Æ÷≠„D Class SC
,iac_vendor_evaluation.menu_vendor_dclass_return_approve,Æ÷≠„D Class™¶^
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
,,
,,
oscg_vendor.group_qm_controller,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_base_data,∞Ú¬¶∏ÍÆ∆
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
,iac_vendor_evaluation.menu_vendor_grading_project,µ˚§¿∂µ•ÿ∫˚≈@
,iac_vendor_evaluation.menu_vendor_designated_personnel,´¸©wµ˚Æ÷§H≠˚
,iac_vendor_evaluation.menu_vendor_sc_class,µ˚Æ÷æ˙•v∞Oø˝¨d∏ﬂ
,oscg_vendor.menu_workspace,Workspace
,oscg_vendor.menu_agent_setting,Agent
,oscg_vendor.menu_agent_setting_agent,Set Agent User
,oscg_vendor.menu_wizard_iac_agent_users,Set Workspace
,oscg_vendor.menu_agent_history,History
,oscg_vendor.menu_agent_history_log,Agent History
,,
,,
,,
oscg_vendor.group_qm_user,iac_vendor_evaluation.menu_vendor_evaluation,Vendor Evaluation
,iac_vendor_evaluation.menu_vendor_evaluation_operation,µ˚Æ÷ß@∑~
